"";"grids";"richness";"PD_obs";"pd_rand_mean";"pd_rand_sd";"pd_obs_rank";"zscore";"pd_obs_p";"reps";"PD";"SR";"mpd";"mntd";"std_resid_loess";"coldspot10_stdPDloess";"hotspot10_stdPDloess";"mpa";"name";"coldspot5_stdPDloess";"hotspot5_stdPDloess";"coldspot2.5_stdPDloess";"hotspot2.5_stdPDloess";"coldspot10_mpd";"hotspot10_mpd";"coldspot5_mpd";"hotspot5_mpd";"coldspot2.5_mpd";"hotspot2.5_mpd";"coldspot10_mntd";"hotspot10_mntd";"coldspot5_mntd";"hotspot5_mntd";"coldspot2.5_mntd";"hotspot2.5_mntd";"coldspot10_sr";"hotspot10_sr";"coldspot5_sr";"hotspot5_sr";"coldspot2.5_sr";"hotspot2.5_sr";"PE";"WE";"std_PE";"ntaxa.x";"mpd.obs";"mpd.rand.mean";"mpd.rand.sd";"mpd.obs.rank";"mpd.obs.z";"mpd.obs.p";"runs.x";"ntaxa.y";"mntd.obs";"mntd.rand.mean";"mntd.rand.sd";"mntd.obs.rank";"mntd.obs.z";"mntd.obs.p";"runs.y";"coldspot10_stdPE";"hotspot10_stdPE";"coldspot5_stdPE";"hotspot5_stdPE";"coldspot2.5_stdPE";"hotspot2.5_stdPE";"loess_mpd";"loess_mntd";"pd_complementarity";"pd_added";"pd_added_perc";"pd_added_perc_hot";"cluster";"ED";"COLOURS";"geometry"
"1";"cell_3.1000";2;277,291225587146;309,065041115329;2668,61954314539;214;-0,615072115673675;0,214;999;169,016885297646;2;169,016885297646;169,016885297646;-0,0697290116604973;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;2;NA;3,35120231395037;0,343971631205674;-0,446166838401907;2;169,016885297646;234,197053583587;104,485524154417;210;-0,623820082383974;0,21;999;2;169,016885297646;237,227038410526;100,477704603742;194;-0,678858592380105;0,194;999;NA;NA;NA;NA;NA;NA;-0,297284063412017;-0,207019506078381;FALSE;NA;NA;NA;1;0,65659849444449;"#D79C9A";list(c(1210008.6882869, 1389057.01574133, 1499097.89044706, 1305865.38311779, 1210008.6882869, 1863249.98500425, 2138960.23128092, 2063331.23342781, 1797369.50389249, 1863249.98500425))
"2";"cell_3.1001";3;438,3050809607;408,006148610411;5550,66139985569;613;0,406682006610015;0,613;999;411,0525548107;3;274,035036540467;217,009559518467;0,204911467126448;NA;NA;NA;NA;NA;NA;NA;NA;NA;274,035036540467;NA;NA;NA;NA;NA;217,009559518467;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;2,24967964736111;0,0213790212584812;0,0536355037229258;3;274,035036540467;236,324589655579;74,7809712783523;658;0,504278645225404;0,658;999;3;217,009559518467;196,467937769424;80,6554408237009;598;0,254683646128023;0,598;999;NA;NA;NA;NA;NA;NA;1,08321174906955;0,979065788143659;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(1389057.01574133, 1567087.13932199, 1691231.53195446, 1499097.89044706, 1389057.01574133, 2138960.23128092, 2413102.58108635, 2327780.50391289, 2063331.23342781, 2138960.23128092))
"3";"cell_3.1002";6;272,7748241807;309,820096538971;2586,95344781846;179,5;-0,72834725073055;0,1795;999;159,9840824977;2;159,9840824977;159,9840824977;-0,0829187487386628;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;2;NA;0,893258800399726;0,0136876567288938;-0,00250132635327671;2;159,9840824977;236,675413495522;99,5343628107741;164;-0,770501049407638;0,164;999;2;159,9840824977;231,218161922553;102,557016405829;186;-0,694580262972674;0,186;999;NA;NA;NA;NA;NA;NA;-0,419510564136226;-0,366908744563241;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(1567087.13932199, 1743971.71239164, 1882128.87262253, 1691231.53195446, 1567087.13932199, 2413102.58108635, 2685480.93779561, 2590528.15227445, 2327780.50391289, 2413102.58108635))
"4";"cell_3.1007";3;330,7430184235;310,839449409086;2429,34470126585;448,5;0,403818664615706;0,4485;999;275,9204709755;2;275,9204709755;275,9204709755;0,0863720587319232;NA;NA;"South_African_Exclusive_Economic_Zone_(Prince_Edward_Islands)NA";NA;NA;NA;NA;NA;NA;275,9204709755;NA;NA;NA;NA;NA;275,9204709755;NA;NA;NA;NA;2;NA;2;NA;2;NA;2,43944693345923;0,120408163265306;-0,0927708941617175;2;275,9204709755;234,799150601765;101,382213895735;447,5;0,405606849501484;0,4475;999;2;275,9204709755;236,214495251036;100,582678575435;448,5;0,394759577760546;0,4485;999;NA;NA;NA;NA;NA;NA;1,14927150540355;1,68527608410491;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(2437575.99068639, 2606892.75551267, 2813410.3828165, 2630680.37095091, 2437575.99068639, 3753537.8646936, 4014262.81863602, 3872327.18577451, 3620820.90111523, 3753537.8646936))
"5";"cell_3.1008";3;337,310014638;406,892701807029;6180,90841167635;200;-0,88506474621178;0,2;999;286,522790404;3;191,015193602667;98,0392698013333;-0,0900353834982607;NA;NA;"South_African_Exclusive_Economic_Zone_(Prince_Edward_Islands)NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,07230114288392;0,177450254713284;-0,206736997207321;3;191,015193602667;236,455784711932;75,5865342464553;197;-0,601173099974429;0,197;999;3;98,0392698013333;199,233056736487;83,7223665164481;136;-1,20868283047485;0,136;999;NA;NA;NA;NA;NA;NA;-0,0401632561969672;-1,12682199070936;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(2606892.75551267, 2774343.52037297, 2994126.57049714, 2813410.3828165, 2606892.75551267, 4014262.81863602, 4272114.38460834, 4121061.67923462, 3872327.18577451, 4014262.81863602))
"6";"cell_3.101";4;217,3398205774;311,164357735288;2574,74339452556;80;-1,84905340323317;0,08;999;49,1140752759;2;49,1140752759;49,1140752759;-0,244811604721547;NA;NA;NA;NA;NA;NA;NA;NA;49,1140752759;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;2;NA;1,01535449762965;0,0291160452450775;-0,0198698564253474;2;49,1140752759;237,600757910759;100,140480302735;77,5;-1,88222267423768;0,0775;999;2;49,1140752759;239,019817407141;100,287549436796;73,5;-1,89361234966585;0,0735;999;NA;NA;NA;NA;NA;NA;-1,91973738388584;-2,32941378514826;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(-439572.977127991, -558881.792928168, -634313.711982922, -498901.861426852, -439572.977127991, -1145126.75585103, -1455936.84721364, -1424691.92330533, -1120551.92733397, -1145126.75585103))
"7";"cell_3.1014";5;580,3006399182;494,630678372822;8542,41688431546;800;0,926911330559474;0,8;999;553,0481137682;4;286,857976458933;233,754949052225;0,435476812374137;NA;NA;NA;NA;NA;NA;NA;NA;NA;286,857976458933;NA;286,857976458933;NA;NA;NA;233,754949052225;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,39358326483156;0,0547123545918146;0,0596447060573671;4;286,857976458933;238,237284013336;59,6039486156586;806;0,815729386640399;0,806;999;4;233,754949052225;176,832320093773;66,4654048079849;768;0,856424919443414;0,768;999;NA;NA;NA;NA;NA;NA;1,22851554102136;1,57726675411832;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(1305865.38311779, 1499097.89044706, 1605029.84203609, 1398142.79170314, 1305865.38311779, 1797369.50389249, 2063331.23342781, 1982046.78808427, 1726562.55790419, 1797369.50389249))
"8";"cell_3.1019";2;330,7430184286;311,616735395654;2619,10157421467;463;0,373726942114667;0,463;999;275,9204709806;2;275,9204709806;275,9204709806;0,0863720587468169;NA;NA;NA;NA;NA;NA;NA;NA;NA;275,9204709806;NA;NA;NA;NA;NA;275,9204709806;NA;NA;NA;NA;2;NA;2;NA;2;NA;2,10906598662603;0,357723577235772;-0,532944036499553;2;275,9204709806;230,449137354158;103,752593008715;485;0,438266960929086;0,485;999;2;275,9204709806;243,451899003164;96,4101714495407;430,5;0,336775378461283;0,4305;999;NA;NA;NA;NA;NA;NA;1,14927150547256;1,68527608419518;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(2259675.17293727, 2446059.96673331, 2618907.85587454, 2419352.40452562, 2259675.17293727, 3110176.05416844, 3366712.71460005, 3234081.86444678, 2987651.40500493, 3110176.05416844))
"9";"cell_3.1021";126;2098,4294293869;1906,17048876065;52494,701771135;807;0,839129151006141;0,807;999;2098,4294293869;29;259,50447215542;99,4523093970345;2,28259543192182;NA;2,28259543192182;"South_African_Exclusive_Economic_Zone_(Prince_Edward_Islands)NA";NA;NA;2,28259543192182;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;97,5681758495215;2,28873881127804;1,6212864445219;29;259,50447215542;237,27083552805;19,8124671733346;884;1,12220433895753;0,884;999;29;99,4523093970345;90,0699048942437;16,0329220226089;738;0,585196166335755;0,738;999;NA;1,6212864445219;NA;NA;NA;NA;1,14615200885128;0,755836190912559;FALSE;NA;NA;0,0292804209905433;2;0,60588208588518;"#BCA4A8";list(c(2630680.37095091, 2813410.3828165, 3012216.64781878, 2816574.239175, 2630680.37095091, 3620820.90111523, 3872327.18577451, 3719777.77325896, 3478179.51912708, 3620820.90111523))
"10";"cell_3.1022";4;509,2825011015;491,361317256696;9544,94359946977;563;0,183434074057036;0,563;999;478,3799629795;4;260,751922188417;164,561816292875;0,228074835783663;NA;NA;"South_African_Exclusive_Economic_Zone_(Prince_Edward_Islands)NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,9867745936853;0,197987178814434;0,453411000887605;4;260,751922188417;234,081188635504;61,2380454092251;618;0,435525552370019;0,618;999;4;164,561816292875;174,394370821499;71,4649813862844;491;-0,137585630582856;0,491;999;NA;NA;NA;NA;NA;NA;0,875263983130537;0,352482204926073;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(2813410.3828165, 2994126.57049714, 3205702.92781076, 3012216.64781878, 2813410.3828165, 3872327.18577451, 4121061.67923462, 3958713.4302496, 3719777.77325896, 3872327.18577451))
"11";"cell_3.1028";4;223,1582880413;407,759516612349;5687,55867801491;16;-2,44777582879237;0,016;999;52,5769158088;3;35,0512772058667;25,6997329919667;-0,423405056681019;NA;NA;NA;NA;NA;NA;NA;NA;35,0512772058667;NA;35,0512772058667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,32711777906053;0,0647318651238024;-0,0593009220677566;3;35,0512772058667;239,14499126531;72,3378427755463;15;-2,82139619082526;0,015;999;3;25,6997329919667;194,630360402077;83,4230323040585;12;-2,02498785700327;0,012;999;NA;NA;NA;NA;NA;NA;-2,1505739628868;-2,40730089730813;FALSE;NA;NA;NA;1;0,65659849444449;"#D79C9A";list(c(1398142.79170314, 1605029.84203609, 1706562.51839235, 1486587.98808015, 1398142.79170314, 1726562.55790419, 1982046.78808427, 1895329.69026497, 1651023.22395657, 1726562.55790419))
"12";"cell_3.1033";5;356,6941095325;492,840536371421;9997,41010683376;104;-1,36164060499216;0,104;999;279,9936184795;4;140,210982709083;93,591661646125;-0,217545600677705;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,63111684251713;0,107552958923033;0,0877121808637784;4;140,210982709083;237,330644638349;60,3934845744764;76;-1,60811489208738;0,076;999;4;93,591661646125;174,467924475155;69,5469293795419;126;-1,16290199366905;0,126;999;NA;NA;NA;NA;NA;NA;-0,755824124611133;-0,90375732924038;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(2419352.40452562, 2618907.85587454, 2784577.50062088, 2572398.35934029, 2419352.40452562, 2987651.40500493, 3234081.86444678, 3092586.62070134, 2856937.81100941, 2987651.40500493))
"13";"cell_3.1035";3;334,778341902;309,386148271795;2542,95569741208;689;0,503536346094343;0,689;999;283,991117668;2;283,991117668;283,991117668;0,0981568517378761;NA;NA;"South_African_Exclusive_Economic_Zone_(Prince_Edward_Islands)NA";NA;NA;NA;NA;NA;NA;283,991117668;NA;283,991117668;NA;NA;NA;283,991117668;NA;283,991117668;NA;NA;2;NA;2;NA;2;NA;10,5697012809037;0,133333333333333;0,292496916635707;2;283,991117668;239,278102994192;98,257682747724;689;0,455058713206259;0,689;999;2;283,991117668;235,676366481935;103,214258016141;654;0,468101521192058;0,654;999;NA;NA;NA;NA;NA;NA;1,25847868346921;1,82813424035203;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(2816574.239175, 3012216.64781878, 3202766.63636601, 2994748.07318719, 2816574.239175, 3478179.51912708, 3719777.77325896, 3557032.70842549, 3326004.6888423, 3478179.51912708))
"14";"cell_3.104";2;272,7748241807;309,480500720937;2510,76403840237;188;-0,73253821077754;0,188;999;159,9840824977;2;159,9840824977;159,9840824977;-0,0829187487386626;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;2;NA;0,83942283748238;0,00756247879678842;0,00407741541650233;2;159,9840824977;233,278459791233;102,61576535701;179;-0,714260396914012;0,179;999;2;159,9840824977;234,50135162309;102,211633607427;176;-0,729048802914101;0,176;999;NA;NA;NA;NA;NA;NA;-0,419510564136226;-0,366908744563241;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(-796175.640516498, -913987.948952283, -1037348.31934683, -903634.958799436, -796175.640516498, -2074108.45468511, -2381020.01107751, -2329922.47260072, -2029597.34764895, -2074108.45468511))
"15";"cell_3.1045";2;272,7748241807;309,480500720937;2510,76403840237;188;-0,73253821077754;0,188;999;159,9840824977;2;159,9840824977;159,9840824977;-0,0829187487386626;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;2;NA;0,83942283748238;0,00756247879678842;0,00407741541650233;2;159,9840824977;233,278459791233;102,61576535701;179;-0,714260396914012;0,179;999;2;159,9840824977;234,50135162309;102,211633607427;176;-0,729048802914101;0,176;999;NA;NA;NA;NA;NA;NA;-0,419510564136226;-0,366908744563241;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(2142602.30053676, 2358356.94332229, 2492204.31890874, 2264204.62865946, 2142602.30053676, 2379600.92927794, 2619220.73568806, 2492204.31890874, 2264204.62865946, 2379600.92927794))
"16";"cell_3.1047";17;847,9714035865;792,707685857302;21567,7456588272;650;0,376303034907687;0,65;999;797,1841793525;8;244,094338690339;153,986831414187;0,592525600737405;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11,1736331105708;0,307911544247329;0,0119168839975228;8;244,094338690339;237,643200556697;41,0469420862854;547;0,157164889898031;0,547;999;8;153,986831414187;138,56824060721;41,9684272264226;658;0,367385480608855;0,658;999;NA;NA;NA;NA;NA;NA;0,656338514044381;1,01719305564224;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(2572398.35934029, 2784577.50062088, 2942614.81199162, 2718393.54905722, 2572398.35934029, 2856937.81100941, 3092586.62070134, 2942614.81199162, 2718393.54905722, 2856937.81100941))
"17";"cell_3.1049";5;393,3735174615;408,228099758138;5707,89278345459;372;-0,196617667987799;0,372;999;316,6730264085;3;211,115350939;190,066118114167;0,0736929469525125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10,0290307627781;0,248958333333333;0,0652107806921985;3;211,115350939;235,071617337058;75,1173688153308;345;-0,318917805240918;0,345;999;3;190,066118114167;193,773671054082;83,0271066311725;412;-0,0446547289234792;0,412;999;NA;NA;NA;NA;NA;NA;0,231820086032175;0,502141136548173;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(2994748.07318719, 3202766.63636601, 3384538.06418454, 3164713.51089315, 2994748.07318719, 3326004.6888423, 3557032.70842549, 3384538.06418454, 3164713.51089315, 3326004.6888423))
"18";"cell_3.1057";9;580,3006396719;491,085551491001;9339,52805383728;799;0,923157587625295;0,799;999;553,0481135219;4;286,857976335783;233,75494899065;0,43547681165484;NA;NA;NA;NA;NA;NA;NA;NA;NA;286,857976335783;NA;286,857976335783;NA;NA;NA;233,75494899065;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,95882368380917;0,0320173191308217;0,0728682963679727;4;286,857976335783;236,59995239909;61,6211971592411;799;0,815596357318679;0,799;999;4;233,75494899065;176,466153745194;68,951430526944;764;0,830857239764867;0,764;999;NA;NA;NA;NA;NA;NA;1,22851553935497;1,57726675302838;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(1803417.62550741, 2034554.76321897, 2138246.84568776, 1895329.69026497, 1803417.62550741, 1803417.62550741, 2034554.76321897, 1925286.10756436, 1706562.51839235, 1803417.62550741))
"19";"cell_3.1059";4;472,7385771186;406,143338103111;6061,00801495979;745;0,855402968037924;0,745;999;421,9513528846;3;281,300901923067;278,6106864474;0,30547134215361;NA;NA;NA;NA;NA;NA;NA;NA;NA;281,300901923067;NA;NA;NA;NA;NA;278,6106864474;NA;278,6106864474;NA;NA;NA;NA;NA;NA;NA;NA;2,99199391097465;0,101122739280634;-0,0338579603319341;3;281,300901923067;236,221184460138;73,0379829745802;719;0,617209233155007;0,719;999;3;278,6106864474;197,243779499908;82,0949794082318;772;0,991131339991944;0,772;999;NA;NA;NA;NA;NA;NA;1,18152910638567;2,0694645815874;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(2264204.62865946, 2492204.31890874, 2619220.73568806, 2379600.92927794, 2264204.62865946, 2264204.62865946, 2492204.31890874, 2358356.94332229, 2142602.30053676, 2264204.62865946))
"20";"cell_3.106";5;482,1692710397;571,988502295473;12462,690802822;235;-0,804569237684583;0,235;999;431,3820468057;5;182,24183741448;128,37337435394;-0,0224762835264995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,08929387927329;0,0314970734451462;0,0301886092457143;5;182,24183741448;234,759752656114;50,9161911972894;155;-1,0314580491329;0,155;999;5;128,37337435394;161,838866316545;60,4080427339039;316;-0,553990668262834;0,316;999;NA;NA;NA;NA;NA;NA;-0,200914724204208;-0,0208272366965848;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(-1031130.28771824, -1147518.86378756, -1302398.75277717, -1170301.28484547, -1031130.28771824, -2686186.23680937, -2989388.84358284, -2925235.49302451, -2628539.72231028, -2686186.23680937))
"21";"cell_3.1060";7;650,1770338197;718,072442605163;17555,8826280945;328;-0,512423540879893;0,328;999;622,9245076697;7;217,984753924048;117,550475261714;0,157257111204694;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,49997553070495;0,0454850954321837;0,0792470800046039;7;217,984753924048;234,918324952756;43,2530688987379;314;-0,391499874109572;0,314;999;7;117,550475261714;145,370893690085;47,6172316944133;291;-0,584251067069803;0,291;999;NA;NA;NA;NA;NA;NA;0,288243407692406;0,213197431514661;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(2492204.31890874, 2718393.54905722, 2856937.81100941, 2619220.73568806, 2492204.31890874, 2492204.31890874, 2718393.54905722, 2572398.35934029, 2358356.94332229, 2492204.31890874))
"22";"cell_3.1063";9;761,7819598415;791,566670481798;22034,8076857179;440;-0,200649810099543;0,44;999;706,9594123935;8;239,088512504857;101,053275824938;0,340817216206452;NA;NA;"Crozet_Islands_Exclusive_Economic_ZoneNA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27,6897572469106;0,535935245310245;0,544109784493254;8;239,088512504857;236,894392546248;40,6832250776773;487;0,0539318098410253;0,487;999;8;101,053275824938;136,669392606073;42,0855947153265;205;-0,846278091637977;0,205;999;NA;NA;NA;NA;NA;NA;0,588602659356094;0,0802185549355779;FALSE;NA;NA;NA;3;0,70888590534119;"#A0B368";list(c(3164713.51089315, 3384538.06418454, 3557032.70842549, 3326004.6888423, 3164713.51089315, 3164713.51089315, 3384538.06418454, 3202766.63636601, 2994748.07318719, 3164713.51089315))
"23";"cell_3.1064";13;642,854858229;792,793896755737;19958,5079226567;132;-1,06133060093942;0,132;999;642,854858229;8;272,741337222929;49,268630477625;-0,00649850278572898;NA;NA;"Crozet_Islands_Exclusive_Economic_ZoneNA";NA;NA;NA;NA;NA;NA;272,741337222929;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;36,1247191874794;1,15622710622711;0,230803175004522;8;272,741337222929;237,253093138248;39,6040488863587;805;0,896076160963025;0,805;999;8;49,268630477625;138,073449399654;41,924389055853;10;-2,11821378729505;0,01;999;NA;NA;NA;NA;NA;NA;1,04397261438264;-0,836419136948921;TRUE;461,488716888;0,0240381457800682;NA;3;0,70888590534119;"#A0B368";list(c(3384538.06418454, 3601939.98313499, 3785514.62291905, 3557032.70842549, 3384538.06418454, 3384538.06418454, 3601939.98313499, 3408492.67622493, 3202766.63636601, 3384538.06418454))
"24";"cell_3.107";9;638,692834549;856,580844309041;22377,5257496851;67;-1,4565563777742;0,067;999;587,905610315;9;149,179221601389;100,864479350778;-0,148146887268387;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,6929701072082;0,0749654545222469;0,0428952614385951;9;149,179221601389;234,702327890795;38,4541112798918;29;-2,22403023871539;0,029;999;9;100,864479350778;134,2534849358;38,8236239712715;207;-0,860017746146767;0,207;999;NA;NA;NA;NA;NA;NA;-0,599891947863186;0,19960892293281;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(-1147518.86378756, -1263071.1165244, -1433547.01934972, -1302398.75277717, -1147518.86378756, -2989388.84358284, -3290412.75358831, -3219799.32258026, -2925235.49302451, -2989388.84358284))
"25";"cell_3.1071";3;419,2867842907;406,270647761067;5777,88496539443;520;0,171237015493902;0,52;999;368,4995600567;3;245,666373371133;207,341629337133;0,149370271785878;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;207,341629337133;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,34641932652899;0,0616357238697664;-0,00349553077747506;3;245,666373371133;235,751827283922;73,2889685993822;496;0,135280196688352;0,496;999;3;207,341629337133;191,856049343316;85,4841321963542;528;0,181151514274567;0,528;999;NA;NA;NA;NA;NA;NA;0,699343916879955;0,807934188278839;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(1895329.69026497, 2138246.84568776, 2236078.14218024, 1982046.78808427, 1895329.69026497, 1706562.51839235, 1925286.10756436, 1810740.37651391, 1605029.84203609, 1706562.51839235))
"26";"cell_3.1073";2;224,329730712;310,301678121111;2477,87614273556;128,5;-1,72709794417024;0,1285;999;63,093895568;2;63,093895568;63,093895568;-0,224398211717154;NA;NA;NA;NA;NA;NA;NA;NA;63,093895568;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;2;NA;0,720858154000064;0,00902809589250267;-0,00406601833811872;2;63,093895568;238,287229110933;96,5215789897273;119;-1,81506907964672;0,119;999;2;63,093895568;233,594368500222;102,459734716779;145;-1,66407294927635;0,145;999;NA;NA;NA;NA;NA;NA;-1,73057079264055;-2,08195761122709;FALSE;NA;NA;NA;2;0,60588208588518;"#BCA4A8";list(c(2379600.92927794, 2619220.73568806, 2739058.05049066, 2488474.90915331, 2379600.92927794, 2142602.30053676, 2358356.94332229, 2218045.47528158, 2015127.24843874, 2142602.30053676))
"27";"cell_3.1075";2;330,743019088;313,501307627412;2608,16610815551;498;0,337608015673468;0,498;999;275,92047164;2;275,92047164;275,92047164;0,0863720606725345;NA;NA;NA;NA;NA;NA;NA;NA;NA;275,92047164;NA;NA;NA;NA;NA;275,92047164;NA;NA;NA;NA;2;NA;2;NA;2;NA;26,6455396761773;0,321428571428571;0,76009724342498;2;275,92047164;238,369090053806;100,590159252888;507;0,373310688292956;0,507;999;2;275,92047164;240,622603372359;100,576945403731;496;0,350953870451626;0,496;999;NA;0,76009724342498;NA;NA;NA;NA;1,14927151439517;1,68527609586719;FALSE;NA;NA;NA;3;0,70888590534119;"#A0B368";list(c(2856937.81100941, 3092586.62070134, 3234081.86444678, 2987651.40500493, 2856937.81100941, 2572398.35934029, 2784577.50062088, 2618907.85587454, 2419352.40452562, 2572398.35934029))
"28";"cell_3.1077";146;2636,02406656335;2452,4153438657;61603,2426886109;754;0,739761155080314;0,754;999;2636,02406656335;42;263,457060515977;81,0072166644747;3,03948605575236;NA;3,03948605575236;"Crozet_Islands_Exclusive_Economic_ZoneNA";NA;NA;3,03948605575236;NA;3,03948605575236;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;42;NA;NA;NA;NA;144,366945112993;3,56708690126371;2,15929036547134;42;263,457060515977;236,077440607554;16,3653734842097;963;1,67302139085556;0,963;999;42;81,0072166644747;79,0619162811651;11,7397775175901;563;0,165701639609004;0,563;999;NA;2,15929036547134;NA;2,15929036547134;NA;NA;1,40895432388884;0,704127751475647;TRUE;599,448953585;0,031224254909536;0,0389895774181866;2;0,60588208588518;"#BCA4A8";list(c(3326004.6888423, 3557032.70842549, 3719777.77325896, 3478179.51912708, 3326004.6888423, 2994748.07318719, 3202766.63636601, 3012216.64781879, 2816574.239175, 2994748.07318719))
"29";"cell_3.1078";42;1779,64330731355;1869,05368561152;52055,673203894;355;-0,391880721296578;0,355;999;1779,64330731355;28;252,928920208506;70,4285072992601;1,40078694029368;NA;1,40078694029368;"Crozet_Islands_Exclusive_Economic_ZoneNA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;86,1859745770732;3,08585739022789;-0,0843946515278927;28;252,928920208506;236,717175923787;20,9942072023991;771;0,772200832754772;0,771;999;28;70,4285072992601;90,8631495233292;16,3613325778424;106;-1,24895952862317;0,106;999;NA;NA;NA;NA;NA;NA;1,02903421009239;0,21316234612355;FALSE;NA;NA;0,0179688571861029;2;0,60588208588518;"#BCA4A8";list(c(3557032.70842549, 3785514.62291905, 3958713.4302496, 3719777.77325896, 3557032.70842549, 3202766.63636601, 3408492.67622493, 3205702.92781076, 3012216.64781879, 3202766.63636601))
